official gene symbol	遗传方式	Result of functional study:U/Y/N	何种方式验证：Animal、C	Number of mutation detected in patients	total patients	Number of mutation detected in controls	total control	PMID	
ACMSD	Autosomal dominance	U	U	1	62	0	192	28671144	
UCHL1	Autosomal dominance	U	C	1	1	0	250	9774100	
PRKN	Autosomal dominance	U	U	3	37	0	30	12397156	
PRKN	Autosomal dominance	U	U	20	146	0	230	12764050	
HFE	Autosomal recessive	U	U	3	197	0	2914	12902032	
GCH1	Autosomal dominance	U	U	1	100	0	100	15133828	
TH	Autosomal dominance	U	U	1	1	0	50	15747353	
LRRK2	Autosomal dominance	U	U	10	435	0	519	15852371	
PINK1	Autosomal dominance	U	U	1	65	0	100	15970950	
PINK1	Autosomal dominance	U	U	2	65	0	100	15970950	
PRKN	Autosomal dominance	U	U	2	65	0	100	15970950	
PINK1	Autosomal dominance	U	U	4	134	0	90	16009891	
PINK1	Autosomal dominance	U	U	1	73	0	94	16257123	
LRRK2	Autosomal dominance	U	U	1	14	0	458	16602113	
POLG1	Autosomal dominance	U	U	6	419	0	492	16943369	
PINK1	Autosomal dominance	U	U	3	131	0	350	17172567	
LRRK2	Autosomal dominance	U	U	12	598	0	765	17179858	
LRRK2	Autosomal dominance	U	U	7	320	0	174	17353388	
RNR1	Autosomal dominance	U	U	1	1	0	270	11079536	
PRKN	Autosomal recessive	U	U	1	1	0	100	11163284	
PRKN	Autosomal recessive	U	U	1	1	0	150	11222788	
PRKN	Autosomal dominance	U	U	1	1	0	100	11246459	
PARKIN	Autosomal recessive	U	U	1	1	0	30	11684352	
PRKN	Autosomal dominance	U	U	1	1	0	96	12056932	
PSEN1	Autosomal dominance	U	U	1	1	0	60	12111359	
PRKN	Autosomal dominance	U	U	1	11	0	50	12116199	
PRKN	Autosomal dominance	U	U	1	1	0	410	12730996	
SNCAIP	Autosomal dominance	U	C	1	1	0	351	12761037	
PRKN	Autosomal dominance	U	U	1	1	0	108	12889082	
PARK7	Autosomal dominance	U	U	1	1	0	308	15254937	
PARK7	Autosomal dominance	U	C	1	1	0	99	15365989	
PSEN1	Autosomal dominance	U	U	1	1	0	60	15469450	
PINK1	Autosomal dominance	U	U	1	1	0	2224	15505171	
KIF21A	Autosomal dominance	U	U	1	1	0	1460	15541308	
LRRK2	U	U	C	1	1	0	1200	15541309	
CP	Autosomal recessive	U	C	1	176	0	180	15557511	
PINK1	Autosomal dominance	U	U	3	289	0	230	15596610	
LRRK2	Autosomal dominance	U	U	1	1	0	250	15680456	
LRRK2	U	U	U	2	174	0	190	16115731	
LRRK2	Autosomal dominance	U	U	1	1	0	180	16157901	
LRRK2	Autosomal dominance	U	U	1	1	0	300	16172858	
LRRK2	Autosomal dominance	U	U	1	1	0	1438	16272164	
LRRK2	Autosomal dominance	U	U	1	1	0	310	16298482	
PINK1	Autosomal dominance	U	U	1	1	0	348	16401616	
PRKN	Autosomal dominance	U	U	1	1	0	134	16476817	
PRKN	Autosomal dominance	U	U	1	1	0	55	16500134	
POLG	Autosomal recessive	U	U	1	1	0	100	16634032	
PINK1	Autosomal dominance	U	U	1	1	7	470	16769864	
LRRK2	Autosomal dominance	U	U	1	1	0	336	16788020	
PRKN	Autosomal dominance	U	U	1	1	0	100	16793319	
PINK1	Autosomal recessive	U	U	1	1	0	197	16966503	
LRRK2	Autosomal dominance	U	U	1	1	0	161	17044089	
LRRK2	Autosomal dominance	U	U	1	1	0	235	17222106	
LRRK2	Autosomal dominance	U	U	5	138	0	101	17469194	
ATP13A2	Autosomal recessive	U	U	3	46	0	654	17485642	
SNCA	Autosomal dominance	U	U	1	1	0	50	17489854	
PRKN	Autosomal dominance	U	U	10	172	2	170	17766365	
LRRK2	Autosomal dominance	U	U	1	1	0	360	17804834	
POLG	Autosomal dominance	U	U	1	140	5	769	17846414	
GBA	Autosomal recessive	U	U	1	1	0	358	17875915	
PINK1	Autosomal recessive	U	U	4	138	1	191	17960343	
LRRK2	Autosomal dominance	U	U	1	1	0	278	18197194	
LRRK2	Autosomal dominance	U	U	2	600	0	334	18201193	
LRRK2	Autosomal dominance	U	U	1	1	0	250	18201824	
LRRK2	Autosomal dominance	U	U	2	132	0	126	18211709	
PRKN	Autosomal recessive	U	U	1	1	0	126	18211709	
PRKRA	Autosomal recessive	U	U	1	1	0	83	18243799	
PINK1	Autosomal recessive	U	U	1	1	0	170	18286320	
GBA	Autosomal recessive	U	U	75	420	14	333	18434642	
GBA	Autosomal recessive	U	U	81	420	257	3805	18434642	
POLG	Autosomal dominance	U	U	1	1	0	200	18502641	
PRKN	Autosomal dominance	U	U	12	146	0	50	18519021	
PINK1	Autosomal dominance	U	U	5	414	0	150	18541801	
PINK1	Autosomal dominance	U	U	1	1	0	368	18685134	
PINK1	Autosomal recessive	U	U	4	72	0	100	18704525	
L2HGDH	Autosomal recessive	U	U	1	1	0	100	18780161	
ATP13A2	Autosomal recessive	U	U	1	1	0	589	19015489	
LRRK2	Autosomal dominance	U	U	1	1	0	200	19879329	
GIGYF2	Autosomal dominance	U	U	2	368	5	552	20060621	
GIGYF2	Autosomal dominance	U	U	9	300	0	300	20178831	
LRRK2	Autosomal dominance	U	U	1	181	0	120	21234781	
PARK7	Autosomal recessive	U	U	2	205	0	220	21322020	
PRKN	Autosomal dominance	U	U	3	93	0	220	21322020	
PLA2G6	Autosomal recessive	U	U	1	379	0	310	21368765	
LRRK2	Autosomal dominance	U	U	4	401	2	398	21406209	
PARK7	Autosomal dominance	U	U	2	78	0	213	21532868	
PINK1	Autosomal recessive	U	U	1	114	0	171	21534944	
SNCA	Autosomal dominance	U	U	1	114	0	171	21534944	
PRKN	Autosomal dominance	U	U	1	114	0	171	21534944	
LRRK2	Autosomal dominance	U	U	11	113	0	87	21699405	
PLA2G6	Autosomal recessive	U	C	1	1	0	300	21700586	
HTRA2	Autosomal dominance	U	A	3	114	0	850	21701785	
PINK1	Autosomal dominance	U	U	5	149	0	150	21743139	
VPS35	Autosomal dominance	U	U	4	4326	0	3309	21763482	
VPS35	Autosomal dominance	U	U	4	860	3	1014	21763483	
PINK1	Autosomal dominance	U	U	5	94	0	100	21925922	
PLA2G6	Autosomal recessive	U	U	3	956	0	802	22213678	
VPS35	Autosomal dominance	U	U	5	592	0	800	22336192	
PLA2G6	Autosomal recessive	U	U	1	72	0	500	22406380	
DNAJC6	Autosomal recessive	U	U	1	1	0	208	22563501	
PARK2	Autosomal recessive	U	U	1	140	0	201	22766139	
VPS35	Autosomal dominance	U	U	1	1	0	5000	22801713	
NR4A2	Autosomal recessive	U	U	2	657	0	672	22827504	
VPS35	Autosomal dominance	U	U	4	733	0	579	22991136	
LRRK2	Autosomal dominance	U	U	1	1	0	114	23124679	
VPS35	Autosomal dominance	U	U	9	8870	8	6513	23125461	
PLA2G6	Autosomal recessive	U	C	4	250	0	550	23182313	
FBXO7	Autosomal recessive	U	U	2	448	0	452	23352116	
VPS35	Autosomal dominance	U	U	3	213	0	272	23408866	
EIF4G1	Autosomal dominance	U	U	1	213	1	272	23408866	
SNCA	Autosomal dominance	U	U	1	1	0	875	23457019	
TARDBP	Autosomal dominance	U	U	8	544	8	604	23546887	
LRRK2	Autosomal dominance	U	U	6	312	0	138	23726462	
SYNJ1	Autosomal recessive	U	U	1	1	0	118	23804577	
SNCA	Autosomal dominance	U	U	1	629	0	630	23916651	
FBXO42	Autosomal recessive	U	U	2	316	0	295	24063688	
POLG	Autosomal dominance	U	U	4	704	0	403	24122062	
PRKN	Autosomal dominance	U	U	4	136	0	200	24167364	
