type,DrugBank ID,DrugBank Name,Group,Gene Target
biotech,DB00002,Cetuximab,approved,EGFR
biotech,DB00002,Cetuximab,approved,FCGR3B
biotech,DB00002,Cetuximab,approved,C1QA
biotech,DB00002,Cetuximab,approved,C1QB
biotech,DB00002,Cetuximab,approved,C1QC
biotech,DB00002,Cetuximab,approved,FCGR3A
biotech,DB00002,Cetuximab,approved,FCGR1A
biotech,DB00002,Cetuximab,approved,FCGR2A
biotech,DB00004,Denileukin diftitox,investigational,IL2RA
biotech,DB00004,Denileukin diftitox,investigational,IL2RB
biotech,DB00004,Denileukin diftitox,investigational,IL2RG
biotech,DB00005,Etanercept,investigational,TNF
biotech,DB00005,Etanercept,investigational,LTA
biotech,DB00005,Etanercept,investigational,FCGR1A
biotech,DB00005,Etanercept,investigational,FCGR2A
biotech,DB00005,Etanercept,investigational,FCGR2B
biotech,DB00005,Etanercept,investigational,FCGR2C
biotech,DB00005,Etanercept,investigational,FCGR3A
biotech,DB00005,Etanercept,investigational,FCGR3B
biotech,DB00005,Etanercept,investigational,C1QA
biotech,DB00005,Etanercept,investigational,C1QB
biotech,DB00005,Etanercept,investigational,C1QC
small molecule,DB00006,Bivalirudin,investigational,F2
small molecule,DB00007,Leuprolide,investigational,GNRHR
biotech,DB00008,Peginterferon alfa-2a,investigational,IFNAR2
biotech,DB00008,Peginterferon alfa-2a,investigational,IFNAR1
biotech,DB00009,Alteplase,investigational,PLG
biotech,DB00009,Alteplase,investigational,FGA
biotech,DB00009,Alteplase,investigational,FGG
biotech,DB00009,Alteplase,investigational,SERPINE1
biotech,DB00011,Interferon alfa-n1,investigational,IFNAR1
biotech,DB00011,Interferon alfa-n1,investigational,IFNAR2
biotech,DB00012,Darbepoetin alfa,investigational,EPOR
small molecule,DB00014,Goserelin,approved,LHCGR
small molecule,DB00014,Goserelin,approved,GNRHR
biotech,DB00015,Reteplase,investigational,PLG
biotech,DB00015,Reteplase,investigational,FGA
