Group,Subgroup,Pathway
Drug ADME,Drug ADME,R-HSA-9748784
Drug ADME,Abacavir ADME,R-HSA-2161522
Drug ADME,Abacavir ADME,R-HSA-2161517
Drug ADME,Abacavir ADME,R-HSA-2161541
Drug ADME,Azathioprine ADME,R-HSA-9748787
Drug ADME,Aspirin ADME,R-HSA-9749641
Drug ADME,Paracetamol ADME,R-HSA-9753281
Drug ADME,Atorvastatin ADME,R-HSA-9754706
Drug ADME,Ribavirin ADME,R-HSA-9755088
Drug ADME,Prednisone ADME,R-HSA-9757110
Drug ADME,Ciprofloxacin ADME,R-HSA-9793528
Protein localization,Protein localization,R-HSA-9609507
Protein localization,Mitochondrial protein import,R-HSA-1268020
Protein localization,Peroxisomal protein import,R-HSA-9033241
Protein localization,Peroxisomal protein import,R-HSA-9033500
Protein localization,Class I peroxisomal membrane protein import,R-HSA-9603798
Protein localization,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,R-HSA-9609523
DNA Repair,DNA Repair,R-HSA-73894
DNA Repair,Mismatch Repair,R-HSA-5358508
DNA Repair,Mismatch Repair,R-HSA-5358565
DNA Repair,Mismatch Repair,R-HSA-5358606
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693532
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693538
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693571
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693606
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5685939
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693567
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693548
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693565
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5685938
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5685942
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693607
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693537
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693579
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693554
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693568
DNA Repair,DNA Double-Strand Break Repair,R-HSA-5693616
DNA Repair,Nucleotide Excision Repair,R-HSA-5696398
DNA Repair,Nucleotide Excision Repair,R-HSA-5696399
DNA Repair,Nucleotide Excision Repair,R-HSA-6781827
DNA Repair,Nucleotide Excision Repair,R-HSA-5696394
DNA Repair,Nucleotide Excision Repair,R-HSA-5696395
DNA Repair,Nucleotide Excision Repair,R-HSA-5696397
DNA Repair,Nucleotide Excision Repair,R-HSA-5696400
DNA Repair,Nucleotide Excision Repair,R-HSA-6781823
DNA Repair,Nucleotide Excision Repair,R-HSA-6782135
DNA Repair,Nucleotide Excision Repair,R-HSA-6782210
DNA Repair,Fanconi Anemia Pathway,R-HSA-6783310
DNA Repair,Fanconi Anemia Pathway,R-HSA-9750126
DNA Repair,Base Excision Repair,R-HSA-73884
DNA Repair,Base Excision Repair,R-HSA-73929
DNA Repair,Base Excision Repair,R-HSA-73933
DNA Repair,Base Excision Repair,R-HSA-73927
DNA Repair,Base Excision Repair,R-HSA-73928
DNA Repair,Base Excision Repair,R-HSA-9636003
DNA Repair,Base Excision Repair,R-HSA-9730737
DNA Repair,Base Excision Repair,R-HSA-110357
DNA Repair,Base Excision Repair,R-HSA-110373
DNA Repair,Base Excision Repair,R-HSA-110381
DNA Repair,Base Excision Repair,R-HSA-5649702
DNA Repair,Base Excision Repair,R-HSA-110362
DNA Repair,Base Excision Repair,R-HSA-5651801
DNA Repair,Base Excision Repair,R-HSA-73930
DNA Repair,Base Excision Repair,R-HSA-110330
DNA Repair,Base Excision Repair,R-HSA-110331
DNA Repair,Base Excision Repair,R-HSA-110328
DNA Repair,Base Excision Repair,R-HSA-110329
DNA Repair,DNA Damage Bypass,R-HSA-73893
DNA Repair,DNA Damage Bypass,R-HSA-110313
DNA Repair,DNA Damage Bypass,R-HSA-110314
DNA Repair,DNA Damage Bypass,R-HSA-110312
DNA Repair,DNA Damage Bypass,R-HSA-110320
DNA Repair,DNA Damage Bypass,R-HSA-5655862
DNA Repair,DNA Damage Bypass,R-HSA-5656121
DNA Repair,DNA Damage Bypass,R-HSA-5656169
DNA Repair,DNA Damage Reversal,R-HSA-73942
DNA Repair,DNA Damage Reversal,R-HSA-5657655
DNA Repair,DNA Damage Reversal,R-HSA-73943
DNA Repair,DNA Damage Reversal,R-HSA-9729902
DNA Repair,DNA Damage Reversal,R-HSA-112122
DNA Repair,DNA Damage Reversal,R-HSA-112126
Reproduction,Reproduction,R-HSA-1474165
Reproduction,Fertilization,R-HSA-1187000
Reproduction,Fertilization,R-HSA-1300642
Reproduction,Fertilization,R-HSA-1300645
Reproduction,Fertilization,R-HSA-2534343
Reproduction,Meiosis,R-HSA-1500620
Reproduction,Meiosis,R-HSA-1221632
Reproduction,Meiosis,R-HSA-912446
Cell Cycle,Meiosis,R-HSA-1500620
Cell Cycle,Meiosis,R-HSA-1221632
Cell Cycle,Meiosis,R-HSA-912446
Reproduction,Specification of primordial germ cells,R-HSA-9827857
Hemostasis,Hemostasis,R-HSA-109582
Hemostasis,Formation of Fibrin Clot (Clotting Cascade),R-HSA-140877
Hemostasis,Formation of Fibrin Clot (Clotting Cascade),R-HSA-140834
Hemostasis,Formation of Fibrin Clot (Clotting Cascade),R-HSA-140837
Hemostasis,Formation of Fibrin Clot (Clotting Cascade),R-HSA-140875
Hemostasis,Cell surface interactions at the vascular wall,R-HSA-202733
Hemostasis,Cell surface interactions at the vascular wall,R-HSA-210990
Hemostasis,Cell surface interactions at the vascular wall,R-HSA-210991
Hemostasis,Cell surface interactions at the vascular wall,R-HSA-210993
Hemostasis,Platelet homeostasis,R-HSA-418346
Hemostasis,Platelet homeostasis,R-HSA-392154
Hemostasis,Platelet homeostasis,R-HSA-392851
Hemostasis,Platelet homeostasis,R-HSA-418360
Hemostasis,Platelet homeostasis,R-HSA-432142
Hemostasis,Platelet homeostasis,R-HSA-418457
Hemostasis,Platelet homeostasis,R-HSA-139853
Hemostasis,Platelet homeostasis,R-HSA-418359
Hemostasis,Dissolution of Fibrin Clot,R-HSA-75205
Hemostasis,Platelet Adhesion to exposed collagen,R-HSA-75892
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-76002
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-114508
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-114604
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-392518
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-430116
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-456926
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-76005
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-76009
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-426048
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-392170
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-418592
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-428930
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-114516
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-114608
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-354192
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-392023
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-354194
Hemostasis,"Platelet activation, signaling and aggregation",R-HSA-372708
Hemostasis,Factors involved in megakaryocyte development and platelet production,R-HSA-983231
Hemostasis,Factors involved in megakaryocyte development and platelet production,R-HSA-983189
Autophagy,Autophagy,R-HSA-9612973
Autophagy,Macroautophagy,R-HSA-1632852
Autophagy,Macroautophagy,R-HSA-9663891
Autophagy,Macroautophagy,R-HSA-5205647
Autophagy,Macroautophagy,R-HSA-9613354
Autophagy,Macroautophagy,R-HSA-9646399
Autophagy,Macroautophagy,R-HSA-9664873
Autophagy,Macroautophagy,R-HSA-5205685
Autophagy,Macroautophagy,R-HSA-8934903
Autophagy,Chaperone Mediated Autophagy,R-HSA-9613829
Autophagy,Late endosomal microautophagy,R-HSA-9615710
Extracellular matrix organization,Extracellular matrix organization,R-HSA-1474244
Extracellular matrix organization,Degradation of the extracellular matrix,R-HSA-1474228
Extracellular matrix organization,Degradation of the extracellular matrix,R-HSA-1442490
Extracellular matrix organization,Degradation of the extracellular matrix,R-HSA-1592389
Extracellular matrix organization,Collagen formation,R-HSA-1474290
Extracellular matrix organization,Collagen formation,R-HSA-1650814
Extracellular matrix organization,Collagen formation,R-HSA-2022090
Extracellular matrix organization,Collagen formation,R-HSA-8948216
Extracellular matrix organization,Collagen formation,R-HSA-2214320
Extracellular matrix organization,Collagen formation,R-HSA-2243919
Extracellular matrix organization,Elastic fibre formation,R-HSA-1566948
Extracellular matrix organization,Elastic fibre formation,R-HSA-2129379
Extracellular matrix organization,Fibronectin matrix formation,R-HSA-1566977
Extracellular matrix organization,Integrin cell surface interactions,R-HSA-216083
Extracellular matrix organization,Laminin interactions,R-HSA-3000157
Extracellular matrix organization,Non-integrin membrane-ECM interactions,R-HSA-3000171
Extracellular matrix organization,Non-integrin membrane-ECM interactions,R-HSA-3000170
Extracellular matrix organization,ECM proteoglycans,R-HSA-3000178
Extracellular matrix organization,Invadopodia formation,R-HSA-8941237
Metabolism of proteins,Metabolism of proteins,R-HSA-392499
Metabolism of proteins,Peptide hormone metabolism,R-HSA-2980736
Metabolism of proteins,Peptide hormone metabolism,R-HSA-2022377
Metabolism of proteins,Peptide hormone metabolism,R-HSA-209952
Metabolism of proteins,Peptide hormone metabolism,R-HSA-264876
Metabolism of proteins,Peptide hormone metabolism,R-HSA-400508
Metabolism of proteins,Peptide hormone metabolism,R-HSA-422085
Metabolism of proteins,Peptide hormone metabolism,R-HSA-209822
Metabolism of proteins,Peptide hormone metabolism,R-HSA-381771
Metabolism of proteins,Peptide hormone metabolism,R-HSA-400511
Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),R-HSA-381426
Metabolism of proteins,Protein folding,R-HSA-391251
Metabolism of proteins,Protein folding,R-HSA-389977
Metabolism of proteins,Protein folding,R-HSA-390466
Metabolism of proteins,Protein folding,R-HSA-389958
Metabolism of proteins,Protein folding,R-HSA-390471
Metabolism of proteins,Protein folding,R-HSA-6814122
Metabolism of proteins,Protein folding,R-HSA-389957
Metabolism of proteins,Protein folding,R-HSA-389960
Metabolism of proteins,Protein folding,R-HSA-390450
Metabolism of proteins,Protein repair,R-HSA-5676934
Metabolism of proteins,Surfactant metabolism,R-HSA-5683826
Metabolism of proteins,Post-translational protein modification,R-HSA-597592
Metabolism of proteins,Post-translational protein modification,R-HSA-163125
Metabolism of proteins,Post-translational protein modification,R-HSA-163841
Metabolism of proteins,Post-translational protein modification,R-HSA-2990846
Metabolism of proteins,Post-translational protein modification,R-HSA-446203
Metabolism of proteins,Post-translational protein modification,R-HSA-5173105
Metabolism of proteins,Post-translational protein modification,R-HSA-5688426
Metabolism of proteins,Post-translational protein modification,R-HSA-8852135
Metabolism of proteins,Post-translational protein modification,R-HSA-8873719
Metabolism of proteins,Post-translational protein modification,R-HSA-8876725
Metabolism of proteins,Post-translational protein modification,R-HSA-8951664
Metabolism of proteins,Post-translational protein modification,R-HSA-8955332
Metabolism of proteins,Post-translational protein modification,R-HSA-8957275
Metabolism of proteins,Post-translational protein modification,R-HSA-162699
Metabolism of proteins,Post-translational protein modification,R-HSA-162710
Metabolism of proteins,Post-translational protein modification,R-HSA-162791
Metabolism of proteins,Post-translational protein modification,R-HSA-159854
Metabolism of proteins,Post-translational protein modification,R-HSA-1663150
Metabolism of proteins,Post-translational protein modification,R-HSA-204626
Metabolism of proteins,Post-translational protein modification,R-HSA-5358493
Metabolism of proteins,Post-translational protein modification,R-HSA-3108232
Metabolism of proteins,Post-translational protein modification,R-HSA-3215018
Metabolism of proteins,Post-translational protein modification,R-HSA-446193
Metabolism of proteins,Post-translational protein modification,R-HSA-532668
Metabolism of proteins,Post-translational protein modification,R-HSA-948021
Metabolism of proteins,Post-translational protein modification,R-HSA-5173214
Metabolism of proteins,Post-translational protein modification,R-HSA-913709
Metabolism of proteins,Post-translational protein modification,R-HSA-5689603
Metabolism of proteins,Post-translational protein modification,R-HSA-5689877
Metabolism of proteins,Post-translational protein modification,R-HSA-5689880
Metabolism of proteins,Post-translational protein modification,R-HSA-5689896
Metabolism of proteins,Post-translational protein modification,R-HSA-5689901
Metabolism of proteins,Post-translational protein modification,R-HSA-8866652
Metabolism of proteins,Post-translational protein modification,R-HSA-8866654
Metabolism of proteins,Post-translational protein modification,R-HSA-159740
Metabolism of proteins,Post-translational protein modification,R-HSA-159763
Metabolism of proteins,Post-translational protein modification,R-HSA-159782
Metabolism of proteins,Post-translational protein modification,R-HSA-3108214
Metabolism of proteins,Post-translational protein modification,R-HSA-3232118
Metabolism of proteins,Post-translational protein modification,R-HSA-3232142
Metabolism of proteins,Post-translational protein modification,R-HSA-3899300
Metabolism of proteins,Post-translational protein modification,R-HSA-4085377
Metabolism of proteins,Post-translational protein modification,R-HSA-4090294
Metabolism of proteins,Post-translational protein modification,R-HSA-4551638
Metabolism of proteins,Post-translational protein modification,R-HSA-4570464
Metabolism of proteins,Post-translational protein modification,R-HSA-4615885
Metabolism of proteins,Post-translational protein modification,R-HSA-4655427
Metabolism of proteins,Post-translational protein modification,R-HSA-4755510
Metabolism of proteins,Post-translational protein modification,R-HSA-9793242
Metabolism of proteins,Post-translational protein modification,R-HSA-3065676
Metabolism of proteins,Post-translational protein modification,R-HSA-3065678
Metabolism of proteins,Post-translational protein modification,R-HSA-3065679
Metabolism of proteins,Post-translational protein modification,R-HSA-446219
Metabolism of proteins,Post-translational protein modification,R-HSA-901042
Metabolism of proteins,Post-translational protein modification,R-HSA-977068
Metabolism of proteins,Post-translational protein modification,R-HSA-199977
Metabolism of proteins,Post-translational protein modification,R-HSA-964739
Metabolism of proteins,Post-translational protein modification,R-HSA-975576
Metabolism of proteins,Post-translational protein modification,R-HSA-204005
Metabolism of proteins,Post-translational protein modification,R-HSA-5694530
Metabolism of proteins,Post-translational protein modification,R-HSA-6807878
Metabolism of proteins,Post-translational protein modification,R-HSA-4085001
Metabolism of proteins,Post-translational protein modification,R-HSA-446199
Metabolism of proteins,Post-translational protein modification,R-HSA-446205
Metabolism of proteins,Post-translational protein modification,R-HSA-446210
Metabolism of proteins,Post-translational protein modification,R-HSA-480985
Metabolism of proteins,Post-translational protein modification,R-HSA-6787639
Metabolism of proteins,Post-translational protein modification,R-HSA-901032
Metabolism of proteins,Post-translational protein modification,R-HSA-964827
Metabolism of proteins,Post-translational protein modification,R-HSA-975574
Metabolism of proteins,Post-translational protein modification,R-HSA-975577
Metabolism of proteins,Post-translational protein modification,R-HSA-975578
Metabolism of proteins,Translation,R-HSA-72766
Metabolism of proteins,Translation,R-HSA-156842
Metabolism of proteins,Translation,R-HSA-1799339
Metabolism of proteins,Translation,R-HSA-379724
Metabolism of proteins,Translation,R-HSA-5368287
Metabolism of proteins,Translation,R-HSA-72613
Metabolism of proteins,Translation,R-HSA-72764
Metabolism of proteins,Translation,R-HSA-156902
Metabolism of proteins,Translation,R-HSA-379716
Metabolism of proteins,Translation,R-HSA-379726
Metabolism of proteins,Translation,R-HSA-5368286
Metabolism of proteins,Translation,R-HSA-5389840
Metabolism of proteins,Translation,R-HSA-5419276
Metabolism of proteins,Translation,R-HSA-156827
Metabolism of proteins,Translation,R-HSA-72737
Metabolism of proteins,Translation,R-HSA-72662
Metabolism of proteins,Translation,R-HSA-72689
Metabolism of proteins,Translation,R-HSA-72695
Metabolism of proteins,Translation,R-HSA-72702
Metabolism of proteins,Translation,R-HSA-72706
Metabolism of proteins,Translation,R-HSA-72731
Metabolism of proteins,Translation,R-HSA-72649
Metabolism of proteins,Amyloid fiber formation,R-HSA-977225
Immune System,Immune System,R-HSA-168256
Immune System,Cytokine Signaling in Immune system,R-HSA-1280215
Immune System,Cytokine Signaling in Immune system,R-HSA-1170546
Immune System,Cytokine Signaling in Immune system,R-HSA-449147
Immune System,Cytokine Signaling in Immune system,R-HSA-5668541
Immune System,Cytokine Signaling in Immune system,R-HSA-913531
Immune System,Cytokine Signaling in Immune system,R-HSA-9607240
Immune System,Cytokine Signaling in Immune system,R-HSA-9674555
Immune System,Cytokine Signaling in Immune system,R-HSA-9680350
Immune System,Cytokine Signaling in Immune system,R-HSA-982772
Immune System,Cytokine Signaling in Immune system,R-HSA-1266695
Immune System,Cytokine Signaling in Immune system,R-HSA-446652
Immune System,Cytokine Signaling in Immune system,R-HSA-447115
Immune System,Cytokine Signaling in Immune system,R-HSA-448424
Immune System,Cytokine Signaling in Immune system,R-HSA-449836
Immune System,Cytokine Signaling in Immune system,R-HSA-451927
Immune System,Cytokine Signaling in Immune system,R-HSA-512988
Immune System,Cytokine Signaling in Immune system,R-HSA-6783589
Immune System,Cytokine Signaling in Immune system,R-HSA-6783783
Immune System,Cytokine Signaling in Immune system,R-HSA-6785807
Immune System,Cytokine Signaling in Immune system,R-HSA-8854691
Immune System,Cytokine Signaling in Immune system,R-HSA-5669034
Immune System,Cytokine Signaling in Immune system,R-HSA-5676590
Immune System,Cytokine Signaling in Immune system,R-HSA-5676594
Immune System,Cytokine Signaling in Immune system,R-HSA-1169410
Immune System,Cytokine Signaling in Immune system,R-HSA-877300
Immune System,Cytokine Signaling in Immune system,R-HSA-909733
Immune System,Cytokine Signaling in Immune system,R-HSA-9645135
Immune System,Cytokine Signaling in Immune system,R-HSA-9706369
Immune System,Cytokine Signaling in Immune system,R-HSA-9706374
Immune System,Cytokine Signaling in Immune system,R-HSA-9705462
Immune System,Cytokine Signaling in Immune system,R-HSA-1169408
Immune System,Cytokine Signaling in Immune system,R-HSA-8983711
Immune System,Cytokine Signaling in Immune system,R-HSA-448706
Immune System,Cytokine Signaling in Immune system,R-HSA-9007892
Immune System,Cytokine Signaling in Immune system,R-HSA-9008059
Immune System,Cytokine Signaling in Immune system,R-HSA-9012546
Immune System,Cytokine Signaling in Immune system,R-HSA-9014826
Immune System,Cytokine Signaling in Immune system,R-HSA-9014843
Immune System,Cytokine Signaling in Immune system,R-HSA-9020702
Immune System,Cytokine Signaling in Immune system,R-HSA-8984722
Immune System,Cytokine Signaling in Immune system,R-HSA-9020591
Immune System,Cytokine Signaling in Immune system,R-HSA-9020933
Immune System,Cytokine Signaling in Immune system,R-HSA-9020956
Immune System,Cytokine Signaling in Immune system,R-HSA-450294
Immune System,Cytokine Signaling in Immune system,R-HSA-8983432
Immune System,Cytokine Signaling in Immune system,R-HSA-8985947
Immune System,Cytokine Signaling in Immune system,R-HSA-9020558
Immune System,Cytokine Signaling in Immune system,R-HSA-9020958
Immune System,Cytokine Signaling in Immune system,R-HSA-912526
Immune System,Cytokine Signaling in Immune system,R-HSA-912631
Immune System,Cytokine Signaling in Immune system,R-HSA-1059683
Immune System,Cytokine Signaling in Immune system,R-HSA-6788467
Immune System,Cytokine Signaling in Immune system,R-HSA-877312
Immune System,Cytokine Signaling in Immune system,R-HSA-9732724
Immune System,Cytokine Signaling in Immune system,R-HSA-912694
Immune System,Cytokine Signaling in Immune system,R-HSA-450282
Immune System,Cytokine Signaling in Immune system,R-HSA-450302
Immune System,Cytokine Signaling in Immune system,R-HSA-450321
Immune System,Cytokine Signaling in Immune system,R-HSA-5684264
Immune System,Cytokine Signaling in Immune system,R-HSA-8950505
Immune System,Cytokine Signaling in Immune system,R-HSA-445989
Immune System,Cytokine Signaling in Immune system,R-HSA-9758274
Immune System,Cytokine Signaling in Immune system,R-HSA-198753
Immune System,Cytokine Signaling in Immune system,R-HSA-199920
Immune System,Cytokine Signaling in Immune system,R-HSA-450341
Immune System,Cytokine Signaling in Immune system,R-HSA-202670
Immune System,Adaptive Immune System,R-HSA-1280218
Immune System,Adaptive Immune System,R-HSA-198933
Immune System,Adaptive Immune System,R-HSA-202403
Immune System,Adaptive Immune System,R-HSA-2132295
Immune System,Adaptive Immune System,R-HSA-388841
Immune System,Adaptive Immune System,R-HSA-392517
Immune System,Adaptive Immune System,R-HSA-8851680
Immune System,Adaptive Immune System,R-HSA-983169
Immune System,Adaptive Immune System,R-HSA-983705
Immune System,Adaptive Immune System,R-HSA-202424
Immune System,Adaptive Immune System,R-HSA-202427
Immune System,Adaptive Immune System,R-HSA-202430
Immune System,Adaptive Immune System,R-HSA-202433
Immune System,Adaptive Immune System,R-HSA-389356
Immune System,Adaptive Immune System,R-HSA-389513
Immune System,Adaptive Immune System,R-HSA-389948
Immune System,Adaptive Immune System,R-HSA-1236975
Immune System,Adaptive Immune System,R-HSA-983168
Immune System,Adaptive Immune System,R-HSA-983170
Immune System,Adaptive Immune System,R-HSA-1168372
Immune System,Adaptive Immune System,R-HSA-5690714
Immune System,Adaptive Immune System,R-HSA-983695
Immune System,Adaptive Immune System,R-HSA-1169091
Immune System,Adaptive Immune System,R-HSA-1169092
Immune System,Adaptive Immune System,R-HSA-2025928
Immune System,Adaptive Immune System,R-HSA-1236973
Immune System,Adaptive Immune System,R-HSA-1236974
Immune System,Adaptive Immune System,R-HSA-1236977
Immune System,Adaptive Immune System,R-HSA-1236978
Immune System,Adaptive Immune System,R-HSA-389357
Immune System,Adaptive Immune System,R-HSA-389359
Immune System,Innate Immune System,R-HSA-168249
Immune System,Innate Immune System,R-HSA-1222556
Immune System,Innate Immune System,R-HSA-166658
Immune System,Innate Immune System,R-HSA-168643
Immune System,Innate Immune System,R-HSA-168898
Immune System,Innate Immune System,R-HSA-168928
Immune System,Innate Immune System,R-HSA-1834949
Immune System,Innate Immune System,R-HSA-2029480
Immune System,Innate Immune System,R-HSA-2172127
Immune System,Innate Immune System,R-HSA-2454202
Immune System,Innate Immune System,R-HSA-5621481
Immune System,Innate Immune System,R-HSA-6798695
Immune System,Innate Immune System,R-HSA-6803157
Immune System,Innate Immune System,R-HSA-879415
Immune System,Innate Immune System,R-HSA-9645460
Immune System,Innate Immune System,R-HSA-8941413
Immune System,Innate Immune System,R-HSA-166663
Immune System,Innate Immune System,R-HSA-166665
Immune System,Innate Immune System,R-HSA-174577
Immune System,Innate Immune System,R-HSA-977606
Immune System,Innate Immune System,R-HSA-168638
Immune System,Innate Immune System,R-HSA-622312
Immune System,Innate Immune System,R-HSA-166016
Immune System,Innate Immune System,R-HSA-1679131
Immune System,Innate Immune System,R-HSA-168138
Immune System,Innate Immune System,R-HSA-168142
Immune System,Innate Immune System,R-HSA-168164
Immune System,Innate Immune System,R-HSA-168176
Immune System,Innate Immune System,R-HSA-168181
Immune System,Innate Immune System,R-HSA-181438
Immune System,Innate Immune System,R-HSA-5686938
Immune System,Innate Immune System,R-HSA-918233
Immune System,Innate Immune System,R-HSA-933541
Immune System,Innate Immune System,R-HSA-933542
Immune System,Innate Immune System,R-HSA-933543
Immune System,Innate Immune System,R-HSA-936440
Immune System,Innate Immune System,R-HSA-1606322
Immune System,Innate Immune System,R-HSA-1834941
Immune System,Innate Immune System,R-HSA-3134963
Immune System,Innate Immune System,R-HSA-3134973
Immune System,Innate Immune System,R-HSA-3134975
Immune System,Innate Immune System,R-HSA-2029481
Immune System,Innate Immune System,R-HSA-2029482
Immune System,Innate Immune System,R-HSA-2029485
Immune System,Innate Immune System,R-HSA-2424491
Immune System,Innate Immune System,R-HSA-2730905
Immune System,Innate Immune System,R-HSA-2871796
Immune System,Innate Immune System,R-HSA-2871809
Immune System,Innate Immune System,R-HSA-2871837
