Chr.c	Chr_start	Chr_end	GeneIDb	Tissue	Mean valuedParkinson	Mean valuedcontrol	Differencee(©´)	p valueg	PMID	
2	-	-		peripheral blood mononuclear cell	53.9	66.58	-11.31	5.74E+12	27709425	
2	-	-	SFT2D3	peripheral blood mononuclear cell	54.91	70.33	-14.44	6.06E+12	27709425	
16	-	-	TNFRSF17	peripheral blood mononuclear cell	87.79	92.74	-2.84	9.63E+11	27709425	
5	-	-	PDE4D	peripheral blood mononuclear cell	70.12	57.81	11.9	14700000000	27709425	
8	-	-	BLK	peripheral blood mononuclear cell	81.98	89.48	-3.42	14700000000	27709425	
16	-	-	IRF8	peripheral blood mononuclear cell	58.91	68.63	-6.75	14700000000	27709425	
1	-	-		peripheral blood mononuclear cell	92.64	88.43	3.67	21900000000	27709425	
6	-	-	CPNE5	peripheral blood mononuclear cell	86.45	92.92	-3.61	26000000000	27709425	
17	-	-	MAPT	peripheral blood mononuclear cell	67.46	77.35	-8.46	28400000000	27709425	
10	-	-	PRF1	peripheral blood mononuclear cell	86.58	91.19	-3.46	43000000000	27709425	
2	-	-		peripheral blood mononuclear cell	55.4	41.29	10.94	44600000000	27709425	
12	-	-	DYRK4	peripheral blood mononuclear cell	36.75	20.38	9.52	1800000000	27709425	
3	-	-	LPP	peripheral blood mononuclear cell	47.25	60.29	-12.2	2770000000	27709425	
1	-	-	PPAP2B	peripheral blood mononuclear cell	38.16	24.77	7.84	3810000000	27709425	
X	-	-	CDKL5	peripheral blood mononuclear cell	41.75	26.96	9.2	122000000	27709425	
6	-	-	LY86	peripheral blood mononuclear cell	58	70.68	-8.05	122000000	27709425	
5	-	-	TRIO	peripheral blood mononuclear cell	78.59	71.21	7.72	122000000	27709425	
2	-	-	SFT2D3	peripheral blood mononuclear cell	82.22	88.11	-4.25	145000000	27709425	
7	-	-	AKR1D1	peripheral blood mononuclear cell	39.15	47.48	6.68	358000000	27709425	
19	-	-		peripheral blood mononuclear cell	28.76	37.63	-10.16	506000000	27709425	
6	-	-		peripheral blood mononuclear cell	59.33	70.93	-6.68	1020000	27709425	
17	-	-	MAPT	peripheral blood mononuclear cell	74.9	68.77	9.48	1430000	27709425	
20	-	-	PCIF1	peripheral blood mononuclear cell	34.54	39.35	-4.86	6600000	27709425	
19	-	-	CD33	peripheral blood mononuclear cell	14.57	11.53	1.52	458000	27709425	
19	-	-	GPX4	peripheral blood mononuclear cell	85.53	82.57	3.97	0.0001	27709425	
12	-	-	DHX37	peripheral blood mononuclear cell	75.07	66.2	7.24	0.0002	27709425	
3	-	-	GPX1	peripheral blood mononuclear cell	7.9	6.98	0.49	0.0003	27709425	
9	-	-	BICD2	peripheral blood mononuclear cell	92.84	91.17	1.61	0.0003	27709425	
3	-	-	GPX1	peripheral blood mononuclear cell	48.52	55.87	-3.79	0.0006	27709425	
4	-	-	SNCA	peripheral blood mononuclear cell	20.28	17.54	2.11	0.002	27709425	
6	-	-	HLA-DRB5	peripheral blood mononuclear cell	77.12	69.28	11.25	0.002	27709425	
4	-	-	BST1	peripheral blood mononuclear cell	10.07	8.64	1.13	0.002	27709425	
4	-	-	SNCA	peripheral blood mononuclear cell	17.56	17.3	1.87	0.01	27709425	
3	-	-	ALG1L	Brain	-	-	-0.23	0.01	23907097	
7	-	-	AMZ1	Brain	-	-	-0.24	0.01	23907097	
15	-	-	ANXA2	Brain	-	-	-0.23	0.01	23907097	
9	-	-	APBA1	Brain	-	-	-0.31	0.01	23907097	
10	-	-	ARHGAP22	Brain	-	-	-0.26	0.01	23907097	
11	-	-	ARHGEF12	Brain	-	-	-0.3	0.01	23907097	
13	-	-	ATP8A2	Brain	-	-	-0.24	0.01	23907097	
12	-	-	B4GALNT3	Brain	-	-	-0.21	0.01	23907097	
12	-	-	B4GALNT3	Brain	-	-	-0.21	0.01	23907097	
20	-	-	BANF2	Brain	-	-	-0.24	0.01	23907097	
10	-	-	C10orf58	Brain	-	-	-0.22	0.01	23907097	
10	-	-	C10orf71	Brain	-	-	-0.2	0.01	23907097	
17	-	-	C17orf57	Brain	-	-	-0.21	0.01	23907097	
1	-	-	C1orf52	Brain	-	-	-0.2	0.01	23907097	
21	-	-	C21orf56	Brain	-	-	-0.21	0.01	23907097	
3	-	-	C3orf21	Brain	-	-	-0.22	0.01	23907097	
1	-	-	CAPN8	Brain	-	-	-0.32	0.01	23907097	
6	-	-	CCR6	Brain	-	-	-0.21	0.01	23907097	
12	-	-	CLECL1	Brain	-	-	-0.24	0.01	23907097	
7	-	-	CNTNAP2	Brain	-	-	-0.26	0.01	23907097	
6	-	-	COL11A2	Brain	-	-	-0.22	0.01	23907097	
19	-	-	CPAMD8	Brain	-	-	-0.25	0.01	23907097	
2	-	-	CTNNA2	Brain	-	-	-0.27	0.01	23907097	
5	-	-	CYFIP2	Brain	-	-	-0.21	0.01	23907097	
13	-	-	DCUN1D2	Brain	-	-	-0.31	0.01	23907097	
2	-	-	DIRC3	Brain	-	-	-0.22	0.01	23907097	
1	-	-	DMBX1	Brain	-	-	-0.37	0.01	23907097	
16	-	-	DNAJA3	Brain	-	-	-0.45	0.01	23907097	
6	-	-	DSE	Brain	-	-	-0.26	0.01	23907097	
1	-	-	ESRRG	Brain	-	-	-0.23	0.01	23907097	
1	-	-	FAM132A	Brain	-	-	-0.23	0.01	23907097	
7	-	-	FOXK1	Brain	-	-	-0.32	0.01	23907097	
6	-	-	FRK	Brain	-	-	-0.39	0.01	23907097	
4	-	-	GPR125	Brain	-	-	-0.31	0.01	23907097	
22	-	-	GSTT1	Brain	-	-	-0.24	0.01	23907097	
22	-	-	GSTT1	Brain	-	-	-0.22	0.01	23907097	
19	-	-	GZMM	Brain	-	-	-0.22	0.01	23907097	
6	-	-	HLA-DRB1	Brain	-	-	-0.41	0.01	23907097	
6	-	-	HLA-DRB1	Brain	-	-	-0.26	0.01	23907097	
6	-	-	HLA-DRB1	Brain	-	-	-0.22	0.01	23907097	
6	-	-	HLA-G	Brain	-	-	-0.23	0.01	23907097	
10	-	-	JAKMIP3	Brain	-	-	-0.5	0.01	23907097	
10	-	-	JAKMIP3	Brain	-	-	-0.31	0.01	23907097	
1	-	-	KCNH1	Brain	-	-	-0.25	0.01	23907097	
16	-	-	KIAA0513	Brain	-	-	-0.26	0.01	23907097	
19	-	-	LGALS7	Brain	-	-	-0.37	0.01	23907097	
12	-	-	LOC100292680	Brain	-	-	-0.24	0.01	23907097	
22	-	-	LOC391322	Brain	-	-	-0.32	0.01	23907097	
10	-	-	LRRC27	Brain	-	-	-0.38	0.01	23907097	
15	-	-	LRRK1	Brain	-	-	-0.22	0.01	23907097	
7	-	-	MAGI2	Brain	-	-	-0.31	0.01	23907097	
4	-	-	MAPK10	Brain	-	-	-0.2	0.01	23907097	
5	-	-	MCC	Brain	-	-	-0.22	0.01	23907097	
5	-	-	MIR886	Brain	-	-	-0.24	0.01	23907097	
5	-	-	MIR886	Brain	-	-	-0.23	0.01	23907097	
5	-	-	MIR886	Brain	-	-	-0.21	0.01	23907097	
5	-	-	MIR886	Brain	-	-	-0.21	0.01	23907097	
5	-	-	MIR886	Brain	-	-	-0.21	0.01	23907097	
5	-	-	MIR886	Brain	-	-	-0.2	0.01	23907097	
1	-	-	MMEL1	Brain	-	-	-0.23	0.01	23907097	
3	-	-	MRPL3	Brain	-	-	-0.22	0.01	23907097	
8	-	-	MYOM2	Brain	-	-	-0.25	0.01	23907097	
8	-	-	MYOM2	Brain	-	-	-0.21	0.01	23907097	
2	-	-	NDUFA10	Brain	-	-	-0.23	0.01	23907097	
1	-	-	NPHP4	Brain	-	-	-0.25	0.01	23907097	
11	-	-	NTM	Brain	-	-	-0.22	0.01	23907097	
6	-	-	OPRM1	Brain	-	-	-0.32	0.01	23907097	
1	-	-	OR10K1	Brain	-	-	-0.22	0.01	23907097	
6	-	-	OR12D3	Brain	-	-	-0.28	0.01	23907097	
1	-	-	PCSK9	Brain	-	-	-0.24	0.01	23907097	
19	-	-	PIK3R2	Brain	-	-	-0.23	0.01	23907097	
7	-	-	PTPRN2	Brain	-	-	-0.22	0.01	23907097	
10	-	-	PWWP2B	Brain	-	-	-0.22	0.01	23907097	
12	-	-	PYROXD1	Brain	-	-	-0.23	0.01	23907097	
12	-	-	RHOF	Brain	-	-	-0.21	0.01	23907097	
10	-	-	SH3PXD2A	Brain	-	-	-0.24	0.01	23907097	
1	-	-	SLC25A24	Brain	-	-	-0.25	0.01	23907097	
12	-	-	SLC26A10	Brain	-	-	-0.2	0.01	23907097	
6	-	-	SMOC2	Brain	-	-	-0.22	0.01	23907097	
1	-	-	SMYD3	Brain	-	-	-0.21	0.01	23907097	
2	-	-	SPATS2L	Brain	-	-	-0.22	0.01	23907097	
19	-	-	SPTBN4	Brain	-	-	-0.24	0.01	23907097	
2	-	-	STEAP3	Brain	-	-	-0.36	0.01	23907097	
11	-	-	STT3A	Brain	-	-	-0.26	0.01	23907097	
5	-	-	TGFBI	Brain	-	-	-0.26	0.01	23907097	
9	-	-	TLE1	Brain	-	-	-0.21	0.01	23907097	
13	-	-	TMCO3	Brain	-	-	-0.21	0.01	23907097	
9	-	-	TNFSF8	Brain	-	-	-0.23	0.01	23907097	
6	-	-	TRIM27	Brain	-	-	-0.21	0.01	23907097	
12	-	-	TSPAN9	Brain	-	-	-0.25	0.01	23907097	
2	-	-	TUBA3E	Brain	-	-	-0.21	0.01	23907097	
6	-	-	WDR27	Brain	-	-	-0.22	0.01	23907097	
19	-	-	XAB2	Brain	-	-	-0.23	0.01	23907097	
7	-	-	ZNF117	Brain	-	-	-0.27	0.01	23907097	
17	-	-	AATF	Brain	-	-	0.22	0.01	23907097	
